Position,Overall,Player,Team (Bye),Avg Pick,High,Low,Std Dev,% Drafted
RB129,385,Tyler Goodson,IND,479.74,328,480,6.25,0%
RB130,386,D'Ernest Johnson,,479.74,329,480,6.21,0%
RB131,387,Kalel Mullings,TEN,479.75,330,480,6.17,0%
RB132,388,Clyde Edwards-Helaire,NO,479.75,333,480,6.05,0%
RB133,389,Marcus Yarns,NO,479.75,334,480,6.01,0%
WR131,390,Noah Brown,WAS,479.75,335,480,5.96,0%
RB134,391,Ezekiel Elliott,,479.76,336,480,5.92,0%
WR132,392,Dont'e Thornton Jr.,LV,479.76,338,480,5.84,0%
WR133,393,Curtis Samuel,BUF,479.76,339,480,5.8,0%
WR134,394,Jaylin Lane,WAS,479.76,341,480,5.72,0%
WR135,395,Javon Baker,NE,479.77,345,480,5.55,0%
DST28,396,New Orleans Saints,NO,479.78,348,480,5.43,0%
WR136,397,KeAndre Lambert-Smith,LAC,479.78,352,480,5.27,0%
WR137,398,Jalin Hyatt,NYG,479.79,355,480,5.14,0%
WR138,399,Jacob Cowing,SF,479.79,356,480,5.1,0%
WR139,400,Malachi Corley,NYJ,479.8,363,480,4.81,0%
WR140,401,Josh Reynolds,NYJ,479.81,365,480,4.73,0%
RB135,402,Blake Watson,DEN,479.81,366,480,4.69,0%
RB136,403,Eric Gray,NYG,479.81,368,480,4.61,0%
WR141,404,Ja'Lynn Polk,NE,479.81,369,480,4.57,0%
RB137,405,Hassan Haskins,LAC,479.81,370,480,4.52,0%
WR142,406,Greg Dortch,ARI,479.82,371,480,4.48,0%
RB138,407,Jordan Mims,,479.82,372,480,4.44,0%
RB139,408,Carson Steele,KC,479.82,373,480,4.4,0%
TE38,409,Noah Gray,KC,479.82,374,480,4.36,0%
WR143,410,Olamide Zaccheaus,CHI,479.82,375,480,4.32,0%
